Mapping: Chemical Entities of Biological Interest Ontology[CHEBI]_National Cancer Institute Thesaurus[NCIT]
domainURL	rangeURL	method
http://purl.obolibrary.org/obo/CHEBI_65173	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C83784	LOOM
http://purl.obolibrary.org/obo/CHEBI_29708	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84248	LOOM
http://purl.obolibrary.org/obo/CHEBI_7856	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47647	LOOM
http://purl.obolibrary.org/obo/CHEBI_78505	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C106130	LOOM
http://purl.obolibrary.org/obo/CHEBI_63112	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C72782	LOOM
http://purl.obolibrary.org/obo/CHEBI_50224	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66945	LOOM
http://purl.obolibrary.org/obo/CHEBI_8355	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66455	LOOM
http://purl.obolibrary.org/obo/CHEBI_6825	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47610	LOOM
http://purl.obolibrary.org/obo/CHEBI_4530	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61721	LOOM
http://purl.obolibrary.org/obo/CHEBI_64216	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91039	LOOM
http://purl.obolibrary.org/obo/CHEBI_44557	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C44408	LOOM
http://purl.obolibrary.org/obo/CHEBI_64227	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C72726	LOOM
http://purl.obolibrary.org/obo/CHEBI_31940	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81376	LOOM
http://purl.obolibrary.org/obo/CHEBI_77942	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81725	LOOM
http://purl.obolibrary.org/obo/CHEBI_17755	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118875	LOOM
http://purl.obolibrary.org/obo/CHEBI_53000	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13189	LOOM
http://purl.obolibrary.org/obo/CHEBI_71025	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91057	LOOM
http://purl.obolibrary.org/obo/CHEBI_7956	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66337	LOOM
http://purl.obolibrary.org/obo/CHEBI_4034	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80599	LOOM
http://purl.obolibrary.org/obo/CHEBI_51864	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65243	LOOM
http://purl.obolibrary.org/obo/CHEBI_31190	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73070	LOOM
http://purl.obolibrary.org/obo/CHEBI_8081	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62066	LOOM
http://purl.obolibrary.org/obo/CHEBI_60937	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47626	LOOM
http://purl.obolibrary.org/obo/CHEBI_102029	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97357	LOOM
http://purl.obolibrary.org/obo/CHEBI_28716	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68408	LOOM
http://purl.obolibrary.org/obo/CHEBI_9073	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61937	LOOM
