Mapping: Human Disease Ontology - National Cancer Institute Thesaurus
domainURL	rangeURL	method
http://purl.obolibrary.org/obo/DOID_8986	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84489	LOOM
http://purl.obolibrary.org/obo/DOID_7233	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5790	LOOM
http://purl.obolibrary.org/obo/DOID_5236	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36079	LOOM
http://purl.obolibrary.org/obo/DOID_1934	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34560	LOOM
http://purl.obolibrary.org/obo/DOID_9923	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92561	LOOM
http://purl.obolibrary.org/obo/DOID_1908	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7749	LOOM
http://purl.obolibrary.org/obo/DOID_3302	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2947	LOOM
http://purl.obolibrary.org/obo/DOID_419	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26746	LOOM
http://purl.obolibrary.org/obo/DOID_6873	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3374	LOOM
http://purl.obolibrary.org/obo/DOID_5116	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5508	LOOM
http://purl.obolibrary.org/obo/DOID_5142	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40326	LOOM
http://purl.obolibrary.org/obo/DOID_8478	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34350	LOOM
http://purl.obolibrary.org/obo/DOID_2733	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35163	LOOM
http://purl.obolibrary.org/obo/DOID_2942	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39658	LOOM
http://purl.obolibrary.org/obo/DOID_9818	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26968	LOOM
http://purl.obolibrary.org/obo/DOID_4547	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27375	LOOM
http://purl.obolibrary.org/obo/DOID_225	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28193	LOOM
http://purl.obolibrary.org/obo/DOID_5489	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7817	LOOM
http://purl.obolibrary.org/obo/DOID_10933	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88411	LOOM
http://purl.obolibrary.org/obo/DOID_6000	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3080	LOOM
http://purl.obolibrary.org/obo/DOID_2580	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85047	LOOM
http://purl.obolibrary.org/obo/DOID_10301	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114281	LOOM
http://purl.obolibrary.org/obo/DOID_2127	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6284	LOOM
http://purl.obolibrary.org/obo/DOID_3764	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84668	LOOM
