Mapping: National Cancer Institute Thesaurus[NCIT]_Foundational Model of Anatomy[FMA]
domainURL	rangeURL	method
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32373	http://purl.org/sig/ont/fma/fma55110	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33821	http://purl.org/sig/ont/fma/fma55590	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20510	http://purl.org/sig/ont/fma/fma264828	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12436	http://purl.org/sig/ont/fma/fma67905	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33528	http://purl.org/sig/ont/fma/fma61122	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32098	http://purl.org/sig/ont/fma/fma9838	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12352	http://purl.org/sig/ont/fma/fma61824	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13049	http://purl.org/sig/ont/fma/fma55220	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32391	http://purl.org/sig/ont/fma/fma7591	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74603	http://purl.org/sig/ont/fma/fma32419	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90067	http://purl.org/sig/ont/fma/fma74542	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C105635	http://purl.org/sig/ont/fma/fma32542	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17522	http://purl.org/sig/ont/fma/fma62933	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34295	http://purl.org/sig/ont/fma/fma63910	LOOM
