Mapping: National Cancer Institute Thesaurus[NCIT]_Galen Ontology[GALEN]
domainURL	rangeURL	method
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41144	http://www.co-ode.org/ontologies/galen#Texture	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3669	http://www.co-ode.org/ontologies/galen#Malnutrition	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32373	http://www.co-ode.org/ontologies/galen#CorniculateCartilage	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37988	http://www.co-ode.org/ontologies/galen#Lipase	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47525	http://www.co-ode.org/ontologies/galen#EthynodiolDiacetate	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3003	http://www.co-ode.org/ontologies/galen#Effusion	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13208	http://www.co-ode.org/ontologies/galen#Chromosome13	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114592	http://www.co-ode.org/ontologies/galen#RenalImpairment	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C488	http://www.co-ode.org/ontologies/galen#Amifostine	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28156	http://www.co-ode.org/ontologies/galen#HydrogenPeroxide	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33821	http://www.co-ode.org/ontologies/galen#TunicaMedia	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C117816	http://www.co-ode.org/ontologies/galen#FreeArterialGraft	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78497	http://www.co-ode.org/ontologies/galen#UrinaryIncontinence	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92848	http://www.co-ode.org/ontologies/galen#Polyhydramnios	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76208	http://www.co-ode.org/ontologies/galen#BorreliaBurgdorferi	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86571	http://www.co-ode.org/ontologies/galen#Melena	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29044	http://www.co-ode.org/ontologies/galen#Famciclovir	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C874	http://www.co-ode.org/ontologies/galen#Thiamine	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C112398	http://www.co-ode.org/ontologies/galen#PneumoVirus	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2982	http://www.co-ode.org/ontologies/galen#Depression	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19177	http://www.co-ode.org/ontologies/galen#SpeechTherapist	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33528	http://www.co-ode.org/ontologies/galen#SemicircularDuct	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C949	http://www.co-ode.org/ontologies/galen#ZincOxide	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32098	http://www.co-ode.org/ontologies/galen#AnteriorMediastinum	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12352	http://www.co-ode.org/ontologies/galen#FrontalLobe	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13049	http://www.co-ode.org/ontologies/galen#LymphoidTissue	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66842	http://www.co-ode.org/ontologies/galen#Mercury	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32391	http://www.co-ode.org/ontologies/galen#CostalCartilage	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50714	http://www.co-ode.org/ontologies/galen#PulmonaryInfarction	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17828	http://www.co-ode.org/ontologies/galen#BiologicalProcess	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62619	http://www.co-ode.org/ontologies/galen#Pyridoxine	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76324	http://www.co-ode.org/ontologies/galen#Haemophilus	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81038	http://www.co-ode.org/ontologies/galen#Betaine	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25339	http://www.co-ode.org/ontologies/galen#Position	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97166	http://www.co-ode.org/ontologies/galen#Echolalia	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47501	http://www.co-ode.org/ontologies/galen#DoxylamineSuccinate	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3347	http://www.co-ode.org/ontologies/galen#SexualDysfunction	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29093	http://www.co-ode.org/ontologies/galen#HomatropineHydrobromide	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29520	http://www.co-ode.org/ontologies/galen#Triazolam	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92880	http://www.co-ode.org/ontologies/galen#shoulderPresentation	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62077	http://www.co-ode.org/ontologies/galen#Sulfacetamide	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C805	http://www.co-ode.org/ontologies/galen#RheumatoidFactor	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74548	http://www.co-ode.org/ontologies/galen#CodeinePhosphate	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28924	http://www.co-ode.org/ontologies/galen#Chlorothiazide	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34295	http://www.co-ode.org/ontologies/galen#SeptumSecundum	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32982	http://www.co-ode.org/ontologies/galen#LesserTrochanter	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12620	http://www.co-ode.org/ontologies/galen#SchwannCell	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68301	http://www.co-ode.org/ontologies/galen#RetinoicAcid	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52961	http://www.co-ode.org/ontologies/galen#LingualArtery	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33699	http://www.co-ode.org/ontologies/galen#SuperiorTemporalGyrus	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C200	http://www.co-ode.org/ontologies/galen#Acetylcysteine	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32908	http://www.co-ode.org/ontologies/galen#LacrimalNerve	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118318	http://www.co-ode.org/ontologies/galen#Rhabdomyolysis	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61940	http://www.co-ode.org/ontologies/galen#Sildenafil	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47995	http://www.co-ode.org/ontologies/galen#FluphenazineHydrochloride	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52686	http://www.co-ode.org/ontologies/galen#SuperiorVesicalArtery	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3300	http://www.co-ode.org/ontologies/galen#OvarianCyst	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65387	http://www.co-ode.org/ontologies/galen#Dihydroergotamine	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32310	http://www.co-ode.org/ontologies/galen#ChoroidalArtery	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17943	http://www.co-ode.org/ontologies/galen#Morphology	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53458	http://www.co-ode.org/ontologies/galen#Sign	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61957	http://www.co-ode.org/ontologies/galen#Sulbactam	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65795	http://www.co-ode.org/ontologies/galen#Gadodiamide	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50805	http://www.co-ode.org/ontologies/galen#VisualDisturbance	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48006	http://www.co-ode.org/ontologies/galen#NaproxenSodium	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32616	http://www.co-ode.org/ontologies/galen#FlatBone	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33712	http://www.co-ode.org/ontologies/galen#SweatGland	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C300	http://www.co-ode.org/ontologies/galen#DiphenhydramineHydrochloride	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75912	http://www.co-ode.org/ontologies/galen#Viscosity	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86595	http://www.co-ode.org/ontologies/galen#MycobacteriumUlcerans	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C930	http://www.co-ode.org/ontologies/galen#Vinblastine	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54187	http://www.co-ode.org/ontologies/galen#FloorOfMouth	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34441	http://www.co-ode.org/ontologies/galen#Burn	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94478	http://www.co-ode.org/ontologies/galen#Lumen	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86215	http://www.co-ode.org/ontologies/galen#Brucella	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12345	http://www.co-ode.org/ontologies/galen#CiliaryBody	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C778	http://www.co-ode.org/ontologies/galen#Prolactin	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48030	http://www.co-ode.org/ontologies/galen#PyridoxineHydrochloride	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233	http://www.co-ode.org/ontologies/galen#Exudate	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77055	http://www.co-ode.org/ontologies/galen#Proflavine	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61665	http://www.co-ode.org/ontologies/galen#Cefoxitin	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C609	http://www.co-ode.org/ontologies/galen#LeukotrieneB4	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78587	http://www.co-ode.org/ontologies/galen#RectalPain	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97117	http://www.co-ode.org/ontologies/galen#PseudoCyst	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12791	http://www.co-ode.org/ontologies/galen#SpinalNerveRoot	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32665	http://www.co-ode.org/ontologies/galen#GastricVein	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1034	http://www.co-ode.org/ontologies/galen#HeparinCalcium	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C79609	http://www.co-ode.org/ontologies/galen#Laryngospasm	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26697	http://www.co-ode.org/ontologies/galen#AorticAneurysm	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65209	http://www.co-ode.org/ontologies/galen#AcamprosateCalcium	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86235	http://www.co-ode.org/ontologies/galen#CampylobacterJejuni	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29046	http://www.co-ode.org/ontologies/galen#Felodipine	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114123	http://www.co-ode.org/ontologies/galen#Kluyveromyces	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41132	http://www.co-ode.org/ontologies/galen#none	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41146	http://www.co-ode.org/ontologies/galen#Speed	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12323	http://www.co-ode.org/ontologies/galen#Prepuce	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C803	http://www.co-ode.org/ontologies/galen#Reserpine	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33346	http://www.co-ode.org/ontologies/galen#PostcentralGyrus	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33096	http://www.co-ode.org/ontologies/galen#Meniscus	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38025	http://www.co-ode.org/ontologies/galen#Speech	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43263	http://www.co-ode.org/ontologies/galen#DiabetesInsipidus	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76698	http://www.co-ode.org/ontologies/galen#Ammonia	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61824	http://www.co-ode.org/ontologies/galen#Maprotiline	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64713	http://www.co-ode.org/ontologies/galen#Pulse	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84417	http://www.co-ode.org/ontologies/galen#DiabeticNephropathy	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73509	http://www.co-ode.org/ontologies/galen#Love	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28857	http://www.co-ode.org/ontologies/galen#BacitracinZinc	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C224	http://www.co-ode.org/ontologies/galen#Allopurinol	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12531	http://www.co-ode.org/ontologies/galen#Basophil	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28840	http://www.co-ode.org/ontologies/galen#Atropine	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50716	http://www.co-ode.org/ontologies/galen#PupillaryBlock	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C646	http://www.co-ode.org/ontologies/galen#MethylphenidateHydrochloride	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1288	http://www.co-ode.org/ontologies/galen#RecombinantGranulocyteMacrophageColonyStimulatingFactor	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12712	http://www.co-ode.org/ontologies/galen#ExocrineGland	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48025	http://www.co-ode.org/ontologies/galen#ThiamineHydrochloride	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29453	http://www.co-ode.org/ontologies/galen#Simethicone	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80153	http://www.co-ode.org/ontologies/galen#Cocaine	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61549	http://www.co-ode.org/ontologies/galen#Ridge	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52009	http://www.co-ode.org/ontologies/galen#Amniocentesis	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28176	http://www.co-ode.org/ontologies/galen#Parasite	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86298	http://www.co-ode.org/ontologies/galen#ClostridiumTetani	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68345	http://www.co-ode.org/ontologies/galen#DocosahexaenoicAcid	LOOM
