Mapping: National Cancer Institute Thesaurus[NCIT]_Logical Observation Identifier Names and Codes[LOINC]
domainURL	rangeURL	method
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41144	http://purl.bioontology.org/ontology/LNC/LP18014-8	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41144	http://purl.bioontology.org/ontology/LNC/MTHU024742	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54711	http://purl.bioontology.org/ontology/LNC/MTHU008119	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54711	http://purl.bioontology.org/ontology/LNC/LP7038-5	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3669	http://purl.bioontology.org/ontology/LNC/LA18401-2	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111835	http://purl.bioontology.org/ontology/LNC/LP65602-2	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47790	http://purl.bioontology.org/ontology/LNC/LP28438-7	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47790	http://purl.bioontology.org/ontology/LNC/MTHU013979	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13208	http://purl.bioontology.org/ontology/LNC/LA21266-4	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73977	http://purl.bioontology.org/ontology/LNC/LP18852-1	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64353	http://purl.bioontology.org/ontology/LNC/MTHU013692	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78497	http://purl.bioontology.org/ontology/LNC/LA6436-5	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76208	http://purl.bioontology.org/ontology/LNC/MTHU002753	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76208	http://purl.bioontology.org/ontology/LNC/LP14087-8	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63507	http://purl.bioontology.org/ontology/LNC/MTHU020676	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104384	http://purl.bioontology.org/ontology/LNC/MTHU021547	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104384	http://purl.bioontology.org/ontology/LNC/LP40488-6	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29044	http://purl.bioontology.org/ontology/LNC/LP157326-2	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29044	http://purl.bioontology.org/ontology/LNC/MTHU045606	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104476	http://purl.bioontology.org/ontology/LNC/LA15236-5	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47410	http://purl.bioontology.org/ontology/LNC/LP16044-7	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47410	http://purl.bioontology.org/ontology/LNC/MTHU006804	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20510	http://purl.bioontology.org/ontology/LNC/LP16475-3	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20510	http://purl.bioontology.org/ontology/LNC/MTHU007084	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C874	http://purl.bioontology.org/ontology/LNC/MTHU008943	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C874	http://purl.bioontology.org/ontology/LNC/LP15886-2	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40134	http://purl.bioontology.org/ontology/LNC/LP96329-5	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94624	http://purl.bioontology.org/ontology/LNC/MTHU020390	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C112398	http://purl.bioontology.org/ontology/LNC/LP28486-6	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104219	http://purl.bioontology.org/ontology/LNC/LP15979-5	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2982	http://purl.bioontology.org/ontology/LNC/MTHU013514	LOOM
