Mapping: National Cancer Institute Thesaurus - Medical Subject Headings
domainURL	rangeURL	method
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C82956	http://purl.bioontology.org/ontology/MESH/D009805	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17992	http://purl.bioontology.org/ontology/MESH/D003585	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81313	http://purl.bioontology.org/ontology/MESH/D009460	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54711	http://purl.bioontology.org/ontology/MESH/D001272	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3669	http://purl.bioontology.org/ontology/MESH/D044342	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73239	http://purl.bioontology.org/ontology/MESH/C015893	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38138	http://purl.bioontology.org/ontology/MESH/D052203	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C82218	http://purl.bioontology.org/ontology/MESH/C065499	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47790	http://purl.bioontology.org/ontology/MESH/C022189	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29782	http://purl.bioontology.org/ontology/MESH/C030703	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34416	http://purl.bioontology.org/ontology/MESH/D001528	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37988	http://purl.bioontology.org/ontology/MESH/D008049	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86863	http://purl.bioontology.org/ontology/MESH/D044124	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77949	http://purl.bioontology.org/ontology/MESH/C571878	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47525	http://purl.bioontology.org/ontology/MESH/D005040	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63490	http://purl.bioontology.org/ontology/MESH/C111757	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75095	http://purl.bioontology.org/ontology/MESH/D005054	LOOM
