Mapping: National Cancer Institute Thesaurus[NCIT]_Mouse Adult Gross Anatomy Ontology[MA]
domainURL	rangeURL	method
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32373	http://purl.obolibrary.org/obo/MA_0001885	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33821	http://purl.obolibrary.org/obo/MA_0002855	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53020	http://purl.obolibrary.org/obo/MA_0002066	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12436	http://purl.obolibrary.org/obo/MA_0002438	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52727	http://purl.obolibrary.org/obo/MA_0001415	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33528	http://purl.obolibrary.org/obo/MA_0000251	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13049	http://purl.obolibrary.org/obo/MA_0002436	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32391	http://purl.obolibrary.org/obo/MA_0000106	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52776	http://purl.obolibrary.org/obo/MA_0001390	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32982	http://purl.obolibrary.org/obo/MA_0002823	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49210	http://purl.obolibrary.org/obo/MA_0001831	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34142	http://purl.obolibrary.org/obo/MA_0001618	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52961	http://purl.obolibrary.org/obo/MA_0001992	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52686	http://purl.obolibrary.org/obo/MA_0002080	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33712	http://purl.obolibrary.org/obo/MA_0000150	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12345	http://purl.obolibrary.org/obo/MA_0000264	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32665	http://purl.obolibrary.org/obo/MA_0002128	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12323	http://purl.obolibrary.org/obo/MA_0000407	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52980	http://purl.obolibrary.org/obo/MA_0001944	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12712	http://purl.obolibrary.org/obo/MA_0002564	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49212	http://purl.obolibrary.org/obo/MA_0001836	LOOM
