Mapping: National Cancer Institute Thesaurus[NCIT]_Natural Products Ontology[NATPRO]
domainURL	rangeURL	method
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7904	http://www.owl-ontologies.com/NPOntology.owl#DOID_3283	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36095	http://www.owl-ontologies.com/NPOntology.owl#DOID_3701	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40311	http://www.owl-ontologies.com/NPOntology.owl#DOID_2064	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34416	http://www.owl-ontologies.com/NPOntology.owl#DOID_13241	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5756	http://www.owl-ontologies.com/NPOntology.owl#DOID_5296	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35792	http://www.owl-ontologies.com/NPOntology.owl#DOID_9766	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7390	http://www.owl-ontologies.com/NPOntology.owl#DOID_3339	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4669	http://www.owl-ontologies.com/NPOntology.owl#DOID_11812	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C79951	http://www.owl-ontologies.com/NPOntology.owl#DOID_3172	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92848	http://www.owl-ontologies.com/NPOntology.owl#DOID_8488	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84707	http://www.owl-ontologies.com/NPOntology.owl#DOID_2987	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34862	http://www.owl-ontologies.com/NPOntology.owl#DOID_11680	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40256	http://www.owl-ontologies.com/NPOntology.owl#DOID_5402	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34879	http://www.owl-ontologies.com/NPOntology.owl#DOID_8125	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35767	http://www.owl-ontologies.com/NPOntology.owl#DOID_2347	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84642	http://www.owl-ontologies.com/NPOntology.owl#DOID_13450	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3513	http://www.owl-ontologies.com/NPOntology.owl#DOID_1107	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97166	http://www.owl-ontologies.com/NPOntology.owl#DOID_4188	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52595	http://www.owl-ontologies.com/NPOntology.owl#DOID_11121	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3347	http://www.owl-ontologies.com/NPOntology.owl#DOID_1876	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5059	http://www.owl-ontologies.com/NPOntology.owl#DOID_8219	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27212	http://www.owl-ontologies.com/NPOntology.owl#DOID_7558	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35530	http://www.owl-ontologies.com/NPOntology.owl#DOID_2228	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8811	http://www.owl-ontologies.com/NPOntology.owl#DOID_8413	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3504	http://www.owl-ontologies.com/NPOntology.owl#DOID_1005	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4347	http://www.owl-ontologies.com/NPOntology.owl#DOID_7007	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34350	http://www.owl-ontologies.com/NPOntology.owl#DOID_8478	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27925	http://www.owl-ontologies.com/NPOntology.owl#DOID_7596	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84691	http://www.owl-ontologies.com/NPOntology.owl#DOID_4959	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27744	http://www.owl-ontologies.com/NPOntology.owl#DOID_3688	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35183	http://www.owl-ontologies.com/NPOntology.owl#DOID_10340	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7570	http://www.owl-ontologies.com/NPOntology.owl#DOID_2417	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3300	http://www.owl-ontologies.com/NPOntology.owl#DOID_5119	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4489	http://www.owl-ontologies.com/NPOntology.owl#DOID_4517	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40127	http://www.owl-ontologies.com/NPOntology.owl#DOID_5124	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4975	http://www.owl-ontologies.com/NPOntology.owl#DOID_4208	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85171	http://www.owl-ontologies.com/NPOntology.owl#DOID_8970	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27860	http://www.owl-ontologies.com/NPOntology.owl#DOID_2503	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34409	http://www.owl-ontologies.com/NPOntology.owl#DOID_12522	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7505	http://www.owl-ontologies.com/NPOntology.owl#DOID_7571	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94356	http://www.owl-ontologies.com/NPOntology.owl#DOID_10849	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25346	http://www.w3.org/2002/07/owl#Class	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34458	http://www.owl-ontologies.com/NPOntology.owl#DOID_10941	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C112026	http://www.owl-ontologies.com/NPOntology.owl#Reoviridae	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C351	http://www.owl-ontologies.com/NPOntology.owl#Carotenoid	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6483	http://www.owl-ontologies.com/NPOntology.owl#DOID_9601	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26697	http://www.owl-ontologies.com/NPOntology.owl#DOID_3627	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3234	http://www.owl-ontologies.com/NPOntology.owl#DOID_2645	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4188	http://www.owl-ontologies.com/NPOntology.owl#DOID_5670	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75463	http://www.owl-ontologies.com/NPOntology.owl#DOID_11983	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7978	http://www.owl-ontologies.com/NPOntology.owl#DOID_5746	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35056	http://www.owl-ontologies.com/NPOntology.owl#DOID_9531	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40021	http://www.owl-ontologies.com/NPOntology.owl#DOID_2150	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39784	http://www.owl-ontologies.com/NPOntology.owl#DOID_5102	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27628	http://www.owl-ontologies.com/NPOntology.owl#DOID_11426	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27378	http://www.owl-ontologies.com/NPOntology.owl#DOID_6495	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84709	http://www.owl-ontologies.com/NPOntology.owl#DOID_1029	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2928	http://www.owl-ontologies.com/NPOntology.owl#DOID_4024	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50508	http://www.owl-ontologies.com/NPOntology.owl#DOID_11030	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9486	http://www.owl-ontologies.com/NPOntology.owl#DOID_2551	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43263	http://www.owl-ontologies.com/NPOntology.owl#DOID_9409	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84417	http://www.owl-ontologies.com/NPOntology.owl#DOID_2370	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40219	http://www.owl-ontologies.com/NPOntology.owl#DOID_4227	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3030	http://www.owl-ontologies.com/NPOntology.owl#DOID_2174	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27288	http://www.owl-ontologies.com/NPOntology.owl#DOID_7411	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16386	http://www.owl-ontologies.com/NPOntology.owl#TransportProtein	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62580	http://www.owl-ontologies.com/NPOntology.owl#DOID_2799	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4141	http://www.owl-ontologies.com/NPOntology.owl#DOID_8120	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14213	http://www.owl-ontologies.com/NPOntology.owl#Hantavirus	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3172	http://www.owl-ontologies.com/NPOntology.owl#DOID_8692	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27862	http://www.owl-ontologies.com/NPOntology.owl#DOID_6905	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27677	http://www.owl-ontologies.com/NPOntology.owl#DOID_7704	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90598	http://www.owl-ontologies.com/NPOntology.owl#DOID_3209	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35007	http://www.owl-ontologies.com/NPOntology.owl#DOID_795	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7173	http://www.owl-ontologies.com/NPOntology.owl#DOID_4857	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4318	http://www.owl-ontologies.com/NPOntology.owl#DOID_6128	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4767	http://www.owl-ontologies.com/NPOntology.owl#DOID_9985	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27945	http://www.owl-ontologies.com/NPOntology.owl#DOID_5397	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38342	http://www.owl-ontologies.com/NPOntology.owl#DOID_7575	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7541	http://www.owl-ontologies.com/NPOntology.owl#DOID_768	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27295	http://www.owl-ontologies.com/NPOntology.owl#DOID_4979	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27903	http://www.owl-ontologies.com/NPOntology.owl#DOID_4391	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4321	http://www.owl-ontologies.com/NPOntology.owl#DOID_7005	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84734	http://www.owl-ontologies.com/NPOntology.owl#DOID_2752	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41619	http://www.owl-ontologies.com/NPOntology.owl#DOID_7733	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35124	http://www.owl-ontologies.com/NPOntology.owl#DOID_1884	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34974	http://www.owl-ontologies.com/NPOntology.owl#DOID_1340	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34793	http://www.owl-ontologies.com/NPOntology.owl#DOID_2565	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3270	http://www.owl-ontologies.com/NPOntology.owl#DOID_769	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6967	http://www.owl-ontologies.com/NPOntology.owl#DOID_5030	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4794	http://www.owl-ontologies.com/NPOntology.owl#DOID_6760	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4199	http://www.owl-ontologies.com/NPOntology.owl#DOID_5309	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40368	http://www.owl-ontologies.com/NPOntology.owl#DOID_5310	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85057	http://www.owl-ontologies.com/NPOntology.owl#DOID_3140	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4676	http://www.owl-ontologies.com/NPOntology.owl#DOID_3842	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27881	http://www.owl-ontologies.com/NPOntology.owl#DOID_6240	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40131	http://www.owl-ontologies.com/NPOntology.owl#DOID_5564	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84670	http://www.owl-ontologies.com/NPOntology.owl#DOID_13451	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70938	http://www.owl-ontologies.com/NPOntology.owl#DOID_1835	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118712	http://www.owl-ontologies.com/NPOntology.owl#DOID_13912	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26951	http://www.owl-ontologies.com/NPOntology.owl#DOID_1389	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3118	http://www.owl-ontologies.com/NPOntology.owl#DOID_10824	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34712	http://www.owl-ontologies.com/NPOntology.owl#DOID_205	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5802	http://www.owl-ontologies.com/NPOntology.owl#DOID_4207	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34504	http://www.owl-ontologies.com/NPOntology.owl#DOID_6195	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53686	http://www.owl-ontologies.com/NPOntology.owl#DOID_3544	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27179	http://www.owl-ontologies.com/NPOntology.owl#DOID_676	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3400	http://www.owl-ontologies.com/NPOntology.owl#DOID_5485	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6527	http://www.owl-ontologies.com/NPOntology.owl#DOID_8205	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27564	http://www.owl-ontologies.com/NPOntology.owl#DOID_1922	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34420	http://www.owl-ontologies.com/NPOntology.owl#DOID_13619	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27679	http://www.owl-ontologies.com/NPOntology.owl#DOID_5979	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7781	http://www.owl-ontologies.com/NPOntology.owl#DOID_3384	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34998	http://www.owl-ontologies.com/NPOntology.owl#DOID_8295	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4982	http://www.owl-ontologies.com/NPOntology.owl#DOID_6004	LOOM
