Mapping: National Cancer Institute Thesaurus[NCIT]_Online Mendelian Inheritance in Man[OMIM]
domainURL	rangeURL	method
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3669	http://purl.bioontology.org/ontology/OMIM/MTHU026060	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34416	http://purl.bioontology.org/ontology/OMIM/109650	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2097	http://purl.bioontology.org/ontology/OMIM/602322	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78497	http://purl.bioontology.org/ontology/OMIM/MTHU036392	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92848	http://purl.bioontology.org/ontology/OMIM/MTHU036439	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86571	http://purl.bioontology.org/ontology/OMIM/MTHU037166	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84707	http://purl.bioontology.org/ontology/OMIM/249100	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18289	http://purl.bioontology.org/ontology/OMIM/604052	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C117102	http://purl.bioontology.org/ontology/OMIM/611570	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104384	http://purl.bioontology.org/ontology/OMIM/605380	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20510	http://purl.bioontology.org/ontology/OMIM/146660	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104219	http://purl.bioontology.org/ontology/OMIM/610619	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2982	http://purl.bioontology.org/ontology/OMIM/MTHU000940	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3145	http://purl.bioontology.org/ontology/OMIM/MTHU036988	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C106491	http://purl.bioontology.org/ontology/OMIM/603705	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18174	http://purl.bioontology.org/ontology/OMIM/603611	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17578	http://purl.bioontology.org/ontology/OMIM/600075	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118965	http://purl.bioontology.org/ontology/OMIM/606653	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3513	http://purl.bioontology.org/ontology/OMIM/MTHU017591	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104056	http://purl.bioontology.org/ontology/OMIM/116830	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97166	http://purl.bioontology.org/ontology/OMIM/MTHU016241	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38494	http://purl.bioontology.org/ontology/OMIM/602352	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35530	http://purl.bioontology.org/ontology/OMIM/MTHU008388	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43236	http://purl.bioontology.org/ontology/OMIM/300392	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101201	http://purl.bioontology.org/ontology/OMIM/MTHU037500	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104160	http://purl.bioontology.org/ontology/OMIM/606266	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C102807	http://purl.bioontology.org/ontology/OMIM/612452	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37964	http://purl.bioontology.org/ontology/OMIM/MTHU037167	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101660	http://purl.bioontology.org/ontology/OMIM/614459	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118318	http://purl.bioontology.org/ontology/OMIM/MTHU036873	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104813	http://purl.bioontology.org/ontology/OMIM/MTHU016602	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15179	http://purl.bioontology.org/ontology/OMIM/MTHU035154	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C778	http://purl.bioontology.org/ontology/OMIM/176760	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34458	http://purl.bioontology.org/ontology/OMIM/MTHU016180	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17918	http://purl.bioontology.org/ontology/OMIM/176797	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C79609	http://purl.bioontology.org/ontology/OMIM/MTHU001729	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15429	http://purl.bioontology.org/ontology/STY/T062	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26697	http://purl.bioontology.org/ontology/OMIM/MTHU034611	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104850	http://purl.bioontology.org/ontology/OMIM/604262	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75463	http://purl.bioontology.org/ontology/OMIM/176270	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26765	http://purl.bioontology.org/ontology/OMIM/MTHU033961	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20529	http://purl.bioontology.org/ontology/OMIM/134638	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C116419	http://purl.bioontology.org/ontology/OMIM/107680	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43263	http://purl.bioontology.org/ontology/OMIM/MTHU013463	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97753	http://purl.bioontology.org/ontology/OMIM/603616	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17524	http://purl.bioontology.org/ontology/OMIM/173325	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104343	http://purl.bioontology.org/ontology/OMIM/605619	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85055	http://purl.bioontology.org/ontology/OMIM/MTHU001511	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C106599	http://purl.bioontology.org/ontology/OMIM/601426	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17970	http://purl.bioontology.org/ontology/OMIM/601601	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28565	http://purl.bioontology.org/ontology/OMIM/603525	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87130	http://purl.bioontology.org/ontology/OMIM/MTHU036551	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95305	http://purl.bioontology.org/ontology/OMIM/613403	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18120	http://purl.bioontology.org/ontology/OMIM/600185	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84313	http://purl.bioontology.org/ontology/OMIM/604534	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50734	http://purl.bioontology.org/ontology/OMIM/MTHU011044	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113109	http://purl.bioontology.org/ontology/OMIM/609201	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17987	http://purl.bioontology.org/ontology/OMIM/182454	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78303	http://purl.bioontology.org/ontology/OMIM/MTHU004053	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97899	http://purl.bioontology.org/ontology/OMIM/604061	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33913	http://purl.bioontology.org/ontology/OMIM/300587	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28475	http://purl.bioontology.org/ontology/OMIM/600797	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C82983	http://purl.bioontology.org/ontology/OMIM/MTHU011439	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92492	http://purl.bioontology.org/ontology/OMIM/606185	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7541	http://purl.bioontology.org/ontology/OMIM/180200	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7541	http://purl.bioontology.org/ontology/OMIM/MTHU034783	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104491	http://purl.bioontology.org/ontology/OMIM/300594	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C105939	http://purl.bioontology.org/ontology/OMIM/610182	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21442	http://purl.bioontology.org/ontology/OMIM/192320	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26319	http://purl.bioontology.org/ontology/OMIM/147553	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35124	http://purl.bioontology.org/ontology/OMIM/MTHU014247	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99054	http://purl.bioontology.org/ontology/OMIM/MTHU022584	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C102506	http://purl.bioontology.org/ontology/OMIM/607065	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118222	http://purl.bioontology.org/ontology/OMIM/601459	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34793	http://purl.bioontology.org/ontology/OMIM/MTHU037954	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26322	http://purl.bioontology.org/ontology/OMIM/601146	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25879	http://purl.bioontology.org/ontology/OMIM/123832	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3270	http://purl.bioontology.org/ontology/OMIM/MTHU013400	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94736	http://purl.bioontology.org/ontology/OMIM/603573	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C98879	http://purl.bioontology.org/ontology/OMIM/MTHU037941	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118686	http://purl.bioontology.org/ontology/OMIM/MTHU000145	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75311	http://purl.bioontology.org/ontology/OMIM/602119	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101771	http://purl.bioontology.org/ontology/OMIM/600633	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34699	http://purl.bioontology.org/ontology/OMIM/MTHU041420	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3001	http://purl.bioontology.org/ontology/OMIM/MTHU003535	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25350	http://purl.bioontology.org/ontology/OMIM/MTHU000003	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C82978	http://purl.bioontology.org/ontology/OMIM/MTHU038293	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27088	http://purl.bioontology.org/ontology/OMIM/MTHU003427	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113129	http://purl.bioontology.org/ontology/OMIM/608163	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C107130	http://purl.bioontology.org/ontology/OMIM/604682	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26951	http://purl.bioontology.org/ontology/OMIM/MTHU038003	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34712	http://purl.bioontology.org/ontology/OMIM/MTHU036636	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17411	http://purl.bioontology.org/ontology/OMIM/176943	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34504	http://purl.bioontology.org/ontology/OMIM/MTHU036374	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17342	http://purl.bioontology.org/ontology/OMIM/162010	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84729	http://purl.bioontology.org/ontology/OMIM/143500	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20507	http://purl.bioontology.org/ontology/OMIM/147680	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101657	http://purl.bioontology.org/ontology/OMIM/602516	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50917	http://purl.bioontology.org/ontology/OMIM/MTHU010515	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113260	http://purl.bioontology.org/ontology/OMIM/603886	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75732	http://purl.bioontology.org/ontology/OMIM/300552	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50625	http://purl.bioontology.org/ontology/OMIM/MTHU038308	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54282	http://purl.bioontology.org/ontology/OMIM/MTHU031199	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118375	http://purl.bioontology.org/ontology/OMIM/MTHU002079	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73511	http://purl.bioontology.org/ontology/OMIM/MTHU006931	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113554	http://purl.bioontology.org/ontology/OMIM/605885	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37930	http://purl.bioontology.org/ontology/OMIM/MTHU001907	LOOM
