Mapping: National Cancer Institute Thesaurus[NCIT]_Physician Data Query[PDQ]
domainURL	rangeURL	method
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C10277	http://purl.bioontology.org/ontology/PDQ/CDR0000040974	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3669	http://purl.bioontology.org/ontology/PDQ/CDR0000041396	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C11281	http://purl.bioontology.org/ontology/PDQ/CDR0000042695	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C10570	http://purl.bioontology.org/ontology/PDQ/CDR0000041493	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2662	http://purl.bioontology.org/ontology/PDQ/CDR0000038517	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C10305	http://purl.bioontology.org/ontology/PDQ/CDR0000041039	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C10935	http://purl.bioontology.org/ontology/PDQ/CDR0000042159	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48385	http://purl.bioontology.org/ontology/PDQ/CDR0000441235	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C11165	http://purl.bioontology.org/ontology/PDQ/CDR0000042428	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C11548	http://purl.bioontology.org/ontology/PDQ/CDR0000043453	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9883	http://purl.bioontology.org/ontology/PDQ/CDR0000039095	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37696	http://purl.bioontology.org/ontology/PDQ/CDR0000269777	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78497	http://purl.bioontology.org/ontology/PDQ/CDR0000472006	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9858	http://purl.bioontology.org/ontology/PDQ/CDR0000039026	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12028	http://purl.bioontology.org/ontology/PDQ/CDR0000038372	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C874	http://purl.bioontology.org/ontology/PDQ/CDR0000037856	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1433	http://purl.bioontology.org/ontology/PDQ/CDR0000041252	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C10820	http://purl.bioontology.org/ontology/PDQ/CDR0000041965	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C10393	http://purl.bioontology.org/ontology/PDQ/CDR0000041175	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9563	http://purl.bioontology.org/ontology/PDQ/CDR0000040868	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2982	http://purl.bioontology.org/ontology/PDQ/CDR0000042480	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C11298	http://purl.bioontology.org/ontology/PDQ/CDR0000042807	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37543	http://purl.bioontology.org/ontology/PDQ/CDR0000269239	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C949	http://purl.bioontology.org/ontology/PDQ/CDR0000042277	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C11256	http://purl.bioontology.org/ontology/PDQ/CDR0000042632	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C10423	http://purl.bioontology.org/ontology/PDQ/CDR0000041237	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12144	http://purl.bioontology.org/ontology/PDQ/CDR0000038576	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3465	http://purl.bioontology.org/ontology/PDQ/CDR0000038316	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C705	http://purl.bioontology.org/ontology/PDQ/CDR0000039195	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C11311	http://purl.bioontology.org/ontology/PDQ/CDR0000042850	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37501	http://purl.bioontology.org/ontology/PDQ/CDR0000352012	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1842	http://purl.bioontology.org/ontology/PDQ/CDR0000043322	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2378	http://purl.bioontology.org/ontology/PDQ/CDR0000041716	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C10131	http://purl.bioontology.org/ontology/PDQ/CDR0000040143	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64621	http://purl.bioontology.org/ontology/PDQ/CDR0000528015	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C10368	http://purl.bioontology.org/ontology/PDQ/CDR0000041139	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74548	http://purl.bioontology.org/ontology/PDQ/CDR0000040563	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37518	http://purl.bioontology.org/ontology/PDQ/CDR0000271908	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9922	http://purl.bioontology.org/ontology/PDQ/CDR0000039333	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1613	http://purl.bioontology.org/ontology/PDQ/CDR0000041985	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26648	http://purl.bioontology.org/ontology/PDQ/CDR0000285619	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12119	http://purl.bioontology.org/ontology/PDQ/CDR0000038535	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49089	http://purl.bioontology.org/ontology/PDQ/CDR0000452040	LOOM
