Mapping: National Cancer Institute Thesaurus[NCIT]_Radiology Lexicon[RADLEX]
domainURL	rangeURL	method
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87013	http://www.owl-ontologies.com/Ontology1415135201.owl#RID11287	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14170	http://www.owl-ontologies.com/Ontology1415135201.owl#RID6274	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32373	http://www.owl-ontologies.com/Ontology1415135201.owl#RID7619	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3003	http://www.owl-ontologies.com/Ontology1415135201.owl#RID4872	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35792	http://www.owl-ontologies.com/Ontology1415135201.owl#RID3709	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3145	http://www.owl-ontologies.com/Ontology1415135201.owl#RID3828	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33528	http://www.owl-ontologies.com/Ontology1415135201.owl#RID10248	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32098	http://www.owl-ontologies.com/Ontology1415135201.owl#RID1433	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12352	http://www.owl-ontologies.com/Ontology1415135201.owl#RID6440	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13049	http://www.owl-ontologies.com/Ontology1415135201.owl#RID30516	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34879	http://www.owl-ontologies.com/Ontology1415135201.owl#RID5369	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66842	http://www.owl-ontologies.com/Ontology1415135201.owl#RID11920	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32391	http://www.owl-ontologies.com/Ontology1415135201.owl#RID34475	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74603	http://www.owl-ontologies.com/Ontology1415135201.owl#RID355	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50714	http://www.owl-ontologies.com/Ontology1415135201.owl#RID34889	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17828	http://www.owl-ontologies.com/Ontology1415135201.owl#RID39129	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85505	http://www.owl-ontologies.com/Ontology1415135201.owl#RID28507	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25228	http://www.owl-ontologies.com/Ontology1415135201.owl#RID5825	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114	http://www.owl-ontologies.com/Ontology1415135201.owl#RID11087	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C105635	http://www.owl-ontologies.com/Ontology1415135201.owl#RID43059	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52961	http://www.owl-ontologies.com/Ontology1415135201.owl#RID696	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33699	http://www.owl-ontologies.com/Ontology1415135201.owl#RID6477	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32908	http://www.owl-ontologies.com/Ontology1415135201.owl#RID12034	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118318	http://www.owl-ontologies.com/Ontology1415135201.owl#RID5084	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52686	http://www.owl-ontologies.com/Ontology1415135201.owl#RID13087	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3300	http://www.owl-ontologies.com/Ontology1415135201.owl#RID34656	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32940	http://www.owl-ontologies.com/Ontology1415135201.owl#RID669	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17943	http://www.owl-ontologies.com/Ontology1415135201.owl#RID28825	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65795	http://www.owl-ontologies.com/Ontology1415135201.owl#RID11629	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32616	http://www.owl-ontologies.com/Ontology1415135201.owl#RID35741	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64920	http://www.owl-ontologies.com/Ontology1415135201.owl#RID12535	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47880	http://www.owl-ontologies.com/Ontology1415135201.owl#RID5755	LOOM
