Mapping: National Cancer Institute Thesaurus - RxNORM
domainURL	rangeURL	method
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47790	http://purl.bioontology.org/ontology/RXNORM/39998	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84082	http://purl.bioontology.org/ontology/RXNORM/1358490	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37988	http://purl.bioontology.org/ontology/RXNORM/6406	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C82598	http://purl.bioontology.org/ontology/RXNORM/1544139	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47525	http://purl.bioontology.org/ontology/RXNORM/4170	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65533	http://purl.bioontology.org/ontology/RXNORM/24346	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75095	http://purl.bioontology.org/ontology/RXNORM/4186	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48385	http://purl.bioontology.org/ontology/RXNORM/475230	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87751	http://purl.bioontology.org/ontology/RXNORM/861634	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C488	http://purl.bioontology.org/ontology/RXNORM/4126	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C72852	http://purl.bioontology.org/ontology/RXNORM/37328	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28156	http://purl.bioontology.org/ontology/RXNORM/5499	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76208	http://purl.bioontology.org/ontology/RXNORM/1426882	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84099	http://purl.bioontology.org/ontology/RXNORM/1426936	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77476	http://purl.bioontology.org/ontology/RXNORM/1305751	LOOM
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65241	http://purl.bioontology.org/ontology/RXNORM/641465	LOOM
